Jrk. nr	Autor	Pealkiri	sarja nimetus	köide	zanr	kirjastus	aasta	kogus	Laenutatud
1	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	1 köide	romaan				
2	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	2 köide	romaan				
3	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	3 köide	romaan				
4	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	4 köide	romaan				
5	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	5 köide	romaan				
6	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	6 köide	romaan				
7	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	7 köide	romaan				
8	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	8 köide	romaan				
9	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	9 köide	romaan				
10	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	10 köide	romaan				
11	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	11 köide	romaan				
12	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	12 köide	romaan				
13	Honor de Balzac	Inimlik komöödia	Honor od Balzac valitud teosed	13 köide	romaan				
14	Honor de Balzac	Antsakad lood	Honor od Balzac valitud teosed	14 köide	romaan				
15	Honor de Balzac	Valitud kirjad	Honor od Balzac valitud teosed	15 köide	romaan				
16	Erich Maria Remarque	Armasta oma ligimest			romaan				
17	Erich Maria Remarque	Arc de Triomphe			romaan				
18	Erich Maria Remarque	Kolm sõpra			romaan				
19	Erich Maria Remarque	"Aeg antud elada, aeg antud surra"		2. trükk	romaan				
20	Erich Maria Remarque	Varjatud paradiis			romaan				
21	Erich Maria Remarque	Lissaboni öö			romaan				
22	Erich Maria Remarque	Läänerindel muutustetta			romaan	Eesti Raamat	1983	2 tk	
23	Erich Maria Remarque	"Aeg antud elada, aeg antud surra"			romaan	ERK	1959		
24	Julius Verne	Draama Liivimaal		2. trükk	romaan			2 tk	
25	Ernest Hemingway	Ja päike tõuseb		2. trükk	romaan			2. tk.	
26	Ernest Hemingway	Kellele lüüakse hingekella		2. trükk	romaan	Eesti Raamat	1970	2 tk	
27	autorite kollektiiv	Suur Kooliteatmik			teatmik	Ersen	2001		
28	Julius Verne	Lõuna-Aafrika savannides	Kuldsule põnevusromaan		romaan				
29	Karl May	Winnetou jälgedes	Kupra kuldraamat	1. raamat	romaan				
30	Karl May	Winnetou	Kupra kuldraamat	2. raamat	romaan				
31	J.F. Cooper	Viimane mohikaanlane	Nahksuka jutud	2. raamat	romaan				
32	Mayne Reid	Peata ratsanik	Seiklusjutte maalt ja merelt		romaan				
33	J.F. Cooper	Viimane mohikaanlane	Seiklusjutte maalt ja merelt		romaan				
34	J.F. Cooper	Rajaleidja	Seiklusjutte maalt ja merelt		romaan				
35	Geza Gardonyi	Egeri tähed	Seiklusjutte maalt ja merelt		romaan				
36	A.Sinkel	Mõõgaga mõõdetud maa	Seiklusjutte maalt ja merelt		romaan				
37	A. Kazantsev	Polaar uunistus	Seiklusjutte maalt ja merelt		romaan				
38	N. Trublaini	Kuunar  Kolumbus	Seiklusjutte maalt ja merelt		romaan				
39	Karl Reiche	Salajane jõud	Seiklusjutte maalt ja merelt		romaan				
40	R. Fraerman ja P. Zaikin	Golovini elu ja seiklused	Seiklusjutte maalt ja merelt		romaan				
41	V.Jan	Viimase Mere poole	Seiklusjutte maalt ja merelt	2 tk.	romaan				
42	V.Jan	Batu-Khan	Seiklusjutte maalt ja merelt	2 tk.	romaan				
43	V.Jan	Tsingis-Khan	Seiklusjutte maalt ja merelt	2 tk.	romaan				
44	Aleksei Tolstoi	Insener Garini hüperboloid. Aeliita.	Seiklusjutte maalt ja merelt		romaan				
45	I. Jefremov	Andromeeda udukogu	Seiklusjutte maalt ja merelt		romaan				
46	A. Advejenko	Tisza kaldal	Seiklusjutte maalt ja merelt		romaan				
47	W. Scott	Ivanhoe	Seiklusjutte maalt ja merelt		romaan				
48	B. Voelkner	Raevuka oja org	Seiklusjutte maalt ja merelt		romaan				
49	W. Scott	Rob Roy	Seiklusjutte maalt ja merelt		romaan				
50	Selma Lagerlöf	Nils Holgersoni imelik reis läbi Rootsi  	Seiklusjutte maalt ja merelt		romaan				
51	Hector Malot	Perekonnata	Seiklusjutte maalt ja merelt		romaan				
52	A. Beljajev	Amfiibinimene. Maailmavalitseja	Seiklusjutte maalt ja merelt	2 tk.	romaan				
53	V. Palman	Erzoti kraater	Seiklusjutte maalt ja merelt		romaan				
54	Strugatski	Purpurpunaste pilvede maa	Seiklusjutte maalt ja merelt		romaan				
55	W. Legere	Ma olin Timbuktus	Seiklusjutte maalt ja merelt		romaan				
56	Ludwig Renn	Trini	Seiklusjutte maalt ja merelt		romaan				
57	A. Jürgen	Sinine lind	Seiklusjutte maalt ja merelt		romaan				
58	Arthur Conan-Doyle	Kadunud maailm. Maracoti sügavik	Seiklusjutte maalt ja merelt		romaan				
59	V. Kaverin	Kaks kaptenit	Seiklusjutte maalt ja merelt		romaan				
60	V. Vassilevski R. Stilmark	Pärija Kalkutast	Seiklusjutte maalt ja merelt		romaan				
61	Julius Verne	Kapten Hatterase seiklused	Seiklusjutte maalt ja merelt		romaan				
62	Julius Verne	20 000 ljööd vee all	Seiklusjutte maalt ja merelt		romaan				
63	Alexander Dumas	Kolm musketäri	Seiklusjutte maalt ja merelt		romaan				
64	Alexander Dumas	20 aastat hiljem	Seiklusjutte maalt ja merelt		romaan				
65	Alexander Dumas	10 aastat hiljem	Seiklusjutte maalt ja merelt		romaan				
66	Alexander Dumas	10 aastat hiljem	Seiklusjutte maalt ja merelt		romaan				
67	V. A. Orbutzev	Kesk-Aasia avarustes	Seiklusjutte maalt ja merelt		romaan				
68	Julius Verne	Kapten Granti lapsed	Seiklusjutte maalt ja merelt		romaan				
69	Robert Louis Stevenson	Must nool	Seiklusjutte maalt ja merelt		romaan				
70	R. Haggard	Kuningas Saalomoni kaevandused. Seeba kuninganna sõrmus	Seiklusjutte maalt ja merelt		romaan				
71	Mark Twain	Tom Sawyer. Huckelberry Finn  	Seiklusjutte maalt ja merelt		romaan				
72	autorite kollektiiv	Kes sa oled koera aastal sündinu			populaarteaduslik				
73	A. Vandenbusche	Numberoloogiast			populaarteaduslik				
74	Mait Metsanurk	Tee algul		1. raamat	mälestused				
75	autorite kollektiiv	Näidendid			näidendid				
76	Einar Maasik	August Anikatsi  katsumine			romaan				
77	Andres Vanapa	Vale sadama jutud			jutte				
78	Hugo Raudsepp	Tillereinu peremehed			Komöödia				
79	Hugo Angervaks	Ajaproov			romaan				
80	Fridebert Tuglas	Marginaalia			Mõtteid ja meeleolusid				
81	Aimee Beekman	Peavari			romaan				
82	Aimee Beekman	Sugupuu			romaan				
83	Aimee Beekman	Valitud romaanid		1. raamat	romaan				
84	Aimee Beekman	Valitud romaanid		2. raamat	romaan				
85	Aimee Beekman	Valitud romaanid		3. raamat	romaan				
86	Fridebert Tuglas	Vabajooks			romaan				
87	Karl August Hindrey	Kill Martus koolis			Noorsoojutt				
88	Vello Latik	Orkester			Triptühhon				
89	autorite kollektiiv	"Meri, mehed, laev ja linnud"			 Eesti mereproosa				
90	Hans Laar	"Pirnipuu, pronks ja marmor"	Jutustus A. Adamsoni Paldiski aastaist		romaan				
91	Albert Kivikas	Nimed marmor tahvlil	Eesti romaanivara		romaan				
92	autorite kollektiiv	Kindlustusselts Eesti kalender 1932			Kalender				
93	Eduard Vilde	Pisuhänd			Komõõdia				
94	Indrek Prodel	Kuskil on midagi viltu			Pildivihik				
95	August Mälk	Ranna jutud	Novelle Saaremaa Läänerannalt		novellid				
96	Juhan Smuul	"Jaapani meri, detsember"	Maailm ja mõnda		reisikiri				
97	Juhan Smuul	Muhulaste imelikud juhtumised…	Üks Norra mere kiri		reisikiri				
98	Juhan Smuul	Kirjad Sõgedate külast. Muhulaste imelikud juhtumised…		3. trükk	romaan				
99	Ilmar Sikemäe	Kirjad Vargamäelt		2. täiustatud trükk		Eesti Raamat	1977		
100	Jaan Kross	Professor Martensi ärasõit			Ajalooline romaan				
101	Jaan Kross	Rakvere romaan			romaan	Eesti Raamat	1982		
102	Jaan Kross	Keisri hull			Ajalooline romaan				Karmen Talur 02.03.2009
103	Jaan Kross	Vastutuulelaev			romaan				
104	Leida Kibuvits	Soomustüdruk	Eesti romaanivara		romaan				
105	Leida Kibuvits	Lepatriinupunane			novell				
106	August Gailit	Toomas Nipernaadi			romaan novellides				
107	Johann Semper	Kivi kivi peale	Eesti romaanivara						
108	Väino Ilus	Kinsli peremehed			romaan				
109	Väino Ilus	Endamisi ja unes			Noortejutt				
110	Väino Ilus	Tuulekülvid			romaan				
111	Osvald Tooming	Maantee läbi metsa			Jutustus				
112	Osvald Tooming	Perekond Kirretid			romaan				
113	Osvald Tooming	Kaksteist aastat			romaan				
114	Enn  Vetemaa	Eesti näkiliste väli määraja			Naiadoloogiline raamat				
115	Egon Rannet	Kivid ja leib		1. raamat	romaan				
116	Egon Rannet ja Vaike Rannet	Kivid ja leib		2. raamat	romaan				
117	Vaike Rannet	Kivid ja leib		3. raamat	romaan				
118	Vaike Rannet	Kivid ja leib		4. raamat	romaan				
119	Jüri Tuulik	Haab			Külaproosa				
120	Jüri Tuulik	Külatraagik			Kogumik				
121	Richard Roht	Elutee	Eesti romaanivara	2. trükk	romaan				
122	Valmar Adams	Esta astub ellu			Esseeromaan				
123	August Mälk	Kevadine maa			romaan				
